Ticker,Price,Strike,DaysToExp,Premium,Mid,ROI_week_pct,Delta,OpenInterest,IV,Expiration,Moneyness,Score
MA,574.33,595.0,28,9.3,9.22,1.619,0.292,379,0.288,2025-11-21,1.036,0.056
XOM,115.39,120.0,28,1.07,1.07,0.927,0.269,39560,0.212,2025-11-21,1.04,0.034
TMO,573.65,600.0,28,5.05,5.4,0.88,0.236,7056,0.232,2025-11-21,1.046,0.037
JPM,300.55,315.0,28,2.42,2.41,0.805,0.224,2028,0.218,2025-11-21,1.048,0.036
INTC,38.34,55.0,28,0.21,0.22,0.548,0.0,6806,0.783,2025-11-21,1.435,5139846.914
PG,152.89,160.0,28,0.79,0.78,0.517,0.233,5643,0.182,2025-11-21,1.047,0.022
BRK-B,492.26,510.0,28,2.31,2.34,0.469,0.291,1909,0.152,2025-11-21,1.036,0.016
UNH,363.54,430.0,28,1.58,1.54,0.435,0.002,913,0.416,2025-11-21,1.183,2.656
VZ,38.78,42.0,28,0.16,0.16,0.413,0.089,8043,0.24,2025-11-21,1.083,0.046
PEP,151.69,160.0,28,0.62,0.62,0.409,0.191,14316,0.185,2025-11-21,1.055,0.021
PYPL,69.86,90.0,28,0.28,0.3,0.401,0.0,9327,0.563,2025-11-21,1.288,1082.079
KO,69.79,72.5,28,0.27,0.26,0.387,0.275,16972,0.144,2025-11-21,1.039,0.014
CRM,254.6,290.0,28,0.98,0.99,0.385,0.012,5080,0.339,2025-11-21,1.139,0.324
MSFT,524.99,585.0,28,1.94,1.9,0.37,0.031,7747,0.289,2025-11-21,1.114,0.119
AAPL,263.09,290.0,28,0.97,0.96,0.369,0.048,7492,0.268,2025-11-21,1.102,0.077
CSCO,70.68,80.0,28,0.26,0.28,0.368,0.016,4676,0.334,2025-11-21,1.132,0.23
NVDA,186.2,230.0,28,0.68,0.7,0.365,0.0,18761,0.478,2025-11-21,1.235,37.277
JNJ,190.61,200.0,28,0.68,0.75,0.357,0.218,5904,0.174,2025-11-21,1.049,0.016
ABT,126.73,135.0,28,0.45,0.4,0.355,0.147,3634,0.194,2025-11-21,1.065,0.024
DIS,111.76,130.0,28,0.39,0.38,0.349,0.004,3265,0.367,2025-11-21,1.163,0.84
CMCSA,29.33,35.0,28,0.1,0.1,0.341,0.001,3857,0.418,2025-11-21,1.193,3.493
ADBE,353.94,415.0,28,1.17,1.21,0.331,0.003,343,0.383,2025-11-21,1.173,1.228
AMZN,224.47,270.0,28,0.72,0.7,0.321,0.001,6459,0.416,2025-11-21,1.203,5.441
GOOGL,259.99,315.0,28,0.83,0.81,0.319,0.0,2617,0.429,2025-11-21,1.212,8.649
TSLA,431.67,590.0,28,1.34,1.38,0.31,0.0,2521,0.627,2025-11-21,1.367,203865.437
HD,386.86,425.0,28,1.2,1.11,0.31,0.054,857,0.251,2025-11-21,1.099,0.057
META,738.16,885.0,28,2.26,2.33,0.306,0.001,306,0.412,2025-11-21,1.199,4.233
V,347.42,380.0,28,1.05,1.05,0.302,0.063,1894,0.248,2025-11-21,1.094,0.048
